1.0000    1.0000    1.0000
0.9957    0.9957    0.9957
0.9915    0.9915    0.9915
0.9872    0.9872    0.9872
0.9830    0.9830    0.9830
0.9787    0.9787    0.9787
0.9745    0.9745    0.9745
0.9702    0.9702    0.9702
0.9660    0.9660    0.9660
0.9617    0.9617    0.9617
0.9574    0.9574    0.9574
0.9532    0.9532    0.9532
0.9489    0.9489    0.9489
0.9447    0.9447    0.9447
0.9404    0.9404    0.9404
0.9362    0.9362    0.9362
0.9319    0.9319    0.9319
0.9277    0.9277    0.9277
0.9234    0.9234    0.9234
0.9191    0.9191    0.9191
0.9149    0.9149    0.9149
0.9106    0.9106    0.9106
0.9064    0.9064    0.9064
0.9021    0.9021    0.9021
0.8979    0.8979    0.8979
0.8936    0.8936    0.8936
0.8894    0.8894    0.8894
0.8851    0.8851    0.8851
0.8809    0.8809    0.8809
0.8766    0.8766    0.8766
0.8723    0.8723    0.8723
0.8681    0.8681    0.8681
0.8638    0.8638    0.8638
0.8596    0.8596    0.8596
0.8553    0.8553    0.8553
0.8511    0.8511    0.8511
0.8468    0.8468    0.8468
0.8426    0.8426    0.8426
0.8383    0.8383    0.8383
0.8340    0.8340    0.8340
0.8298    0.8298    0.8298
0.8255    0.8255    0.8255
0.8213    0.8213    0.8213
0.8170    0.8170    0.8170
0.8128    0.8128    0.8128
0.8085    0.8085    0.8085
0.8043    0.8043    0.8043
0.8000    0.8000    0.8000
0.7957    0.7957    0.7957
0.7915    0.7915    0.7915
0.7872    0.7872    0.7872
0.7830    0.7830    0.7830
0.7787    0.7787    0.7787
0.7745    0.7745    0.7745
0.7702    0.7702    0.7702
0.7660    0.7660    0.7660
0.7617    0.7617    0.7617
0.7574    0.7574    0.7574
0.7532    0.7532    0.7532
0.7489    0.7489    0.7489
0.7447    0.7447    0.7447
0.7404    0.7404    0.7404
0.7362    0.7362    0.7362
0.7319    0.7319    0.7319
0.7277    0.7277    0.7277
0.7234    0.7234    0.7234
0.7191    0.7191    0.7191
0.7149    0.7149    0.7149
0.7106    0.7106    0.7106
0.7064    0.7064    0.7064
0.7021    0.7021    0.7021
0.6979    0.6979    0.6979
0.6936    0.6936    0.6936
0.6894    0.6894    0.6894
0.6851    0.6851    0.6851
0.6809    0.6809    0.6809
0.6766    0.6766    0.6766
0.6723    0.6723    0.6723
0.6681    0.6681    0.6681
0.6638    0.6638    0.6638
0.6596    0.6596    0.6596
0.6553    0.6553    0.6553
0.6511    0.6511    0.6511
0.6468    0.6468    0.6468
0.6426    0.6426    0.6426
0.6383    0.6383    0.6383
0.6340    0.6340    0.6340
0.6298    0.6298    0.6298
0.6255    0.6255    0.6255
0.6213    0.6213    0.6213
0.6170    0.6170    0.6170
0.6128    0.6128    0.6128
0.6085    0.6085    0.6085
0.6043    0.6043    0.6043
0.6000    0.6000    0.6000
0.5957    0.5957    0.5957
0.5915    0.5915    0.5915
0.5872    0.5872    0.5872
0.5830    0.5830    0.5830
